time,posx,posy,posz,vprelx,vprely,vprelz,vgrelx,vgrely,vgrelz,nx,ny,nz,Bx,By,Bz,w,qs1,qs2,qs3,qs4,ms1,ms2,ms3,ms4,Ns1,Ns2,Ns3,Ns4,psi,theta_res,Y,L,alt,lat,lon,damp,S_stix,D_stix,P_stix,R_stix,L_stix,wce
18.17176908588409,-2731400.056161263,12260911.91610821,106791.5305856025,-0.000153310233014382,0.0006814140829023495,2.3095751595452262e-05,7.128940577435131e-05,-0.0003193545766112143,0.010180309001629629,-313.9270595305446,1395.3035956064982,47.292220769947264,2.2572568266388283e-08,-1.01325439453125e-07,4.0696378181778775e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028770042.055144,1637215213.1632311,169201040.03482533,222353788.8570874,89.56726970060956,89.59428765807708,0.027017957467521114,1.969670926235065,12561923.08973299,0.4870892497380481,-0.08003556218905351,0.3289042632978316,1.3508615462750413,582.9461099518352,-26940.46875238952,584.2969714981102,-581.5952484055601,-715930.0781049742
18.17772955036163,-2731264.188208702,12260303.19067395,124970.0507428752,-0.0001531806224565588,0.0006808395246002272,2.6103368414037132e-05,8.074683824538523e-05,-0.0003618107345109773,0.01016206464814003,-314.0954385237648,1396.055098968319,53.52471361891455,2.6418388625044316e-08,-1.1858913421630859e-07,4.069754650090134e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028814973.4932609,1637214992.963492,169206987.867578,222392992.6621906,89.5678170592326,89.59481858896737,0.02700152973477543,1.9696520345208073,12561467.108050073,0.5700269349675722,-0.08003672141694833,0.32847898317357693,1.347357990699777,582.8722297265597,-26941.065184403524,584.2195877172595,-581.52487173586,-716036.6836212464
18.18518013095856,-2731070.669919203,12259435.96659396,147646.5631113584,-0.0001529823280047211,0.0006799597375131092,2.9841251525723797e-05,9.245953067103537e-05,-0.000414389745569465,0.01013506566873826,-314.36490267109883,1397.256006569451,61.321083642931875,3.121802218764698e-08,-1.401337127685547e-07,4.069900571091547e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028876588.920122,1637213306.59851,169215226.52335632,222448055.7982565,89.56860333106661,89.59557674144303,0.026973410376413653,1.9696285042173691,12560824.683543239,0.67350034399675,-0.08003816497449906,0.3279500551852377,1.3423610918470672,582.7662335728485,-26941.883074907706,584.1085946646956,-581.4238724810015,-716188.6729809626
18.19263071155548,-2730851.112648645,12258451.84835257,170260.69356603,-0.000153404957410828,0.0006818394093031695,3.369885142109072e-05,0.000104505667754915,-0.0004684652689884099,0.01015038657890207,-313.34396777343517,1392.72074058977,68.83305462817272,3.600686152775442e-08,-1.61630615234375e-07,4.070045450591709e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028944190.5833552,1637210059.601464,169224348.0933336,222509782.88855743,89.56927263485979,89.5964384779415,0.02716584308171832,1.9696050835745302,12560102.635791097,0.776706865369647,-0.0800396003977028,0.32743086859194087,1.3366909675712009,582.6453519493757,-26942.780418070724,583.982042916947,-581.3086609818046,-716361.1330339548
18.200081292152397,-2730604.666037605,12257347.0225883,192906.89557482212,-0.000153914983071245,0.0006841079027067568,3.760550055847683e-05,0.00011665582835808808,-0.000523006394473246,0.010169986779562759,-312.13264078766986,1387.339958688319,76.2622583145545,4.08055303955297e-08,-1.8317109680175782e-07,4.0701902100245465e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2029018037.6867852,1637205231.851742,169234387.3947696,222578418.44027367,89.57001250990577,89.59740808604177,0.02739557613600141,1.9695816937797102,12559298.186789773,0.88007987638575,-0.08004103149257025,0.3269203384692704,1.330323729348379,582.5090583320327,-26943.760654506896,583.8393820613811,-581.1787346026844,-716554.8290478585
18.20753187274933,-2730331.088709001,12256120.40998407,215591.65472398,-0.0001538987805186857,0.0006840365513776463,4.1401288878403944e-05,0.0001283856016118783,-0.0005756622593917645,0.01015027197457395,-311.974965103743,1386.640482312435,83.92636776950826,4.56156663379129e-08,-2.047628479003906e-07,4.070334874866254e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2029098212.580439,1637198817.610677,169245354.9387541,222654040.03100783,89.57103857558972,89.59848699774155,0.02744842215182075,1.9695583068486517,12558410.533168025,0.9836514497697948,-0.08004246246242126,0.32641345791519616,1.323255007963951,582.3572498606184,-26944.824877315972,583.6805048685823,-581.0339948526544,-716769.9470660366
18.21498245334625,-2730031.431133689,12254776.71768491,238231.9527465709,-0.0001541727089374449,0.0006852549515253563,4.5276908192318155e-05,0.000140304390438253,-0.0006291672827060503,0.01014924752862845,-311.2125750202309,1383.253621729506,91.39583318344104,5.041981067961545e-08,-2.263283081054688e-07,4.07047862752178e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2029184389.1315103,1637190823.6332211,169257206.5104631,222736358.9878264,89.57206276242616,89.59967172865295,0.02760896622679354,1.9695350484449479,12557443.150522301,1.0870448856384343,-0.08004388512372092,0.32591519675321406,1.3155131516098209,582.1905164388897,-26945.96875735676,583.5060295904996,-580.8750032872799,-717005.6793474287
18.22429567909241,-2729619.694128227,12252930.26649117,266512.8077458334,-0.0001539950282168721,0.0006844660494643013,4.996879188383657e-05,0.000154598806703933,-0.0006933387889275286,0.01010843860402452,-311.28650472228685,1383.583915701184,101.0072256930867,5.642642559980778e-08,-2.532913208007813e-07,4.070657357892392e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2029300727.663684,1637178605.63748,169273286.60525033,222848835.4209539,89.5736681950078,89.60130442046518,0.02763622545738542,1.9695060821655108,12556120.135884356,1.2162360462147745,-0.08004565743884819,0.32529896777839246,1.304879131795758,581.9608799667446,-26947.512988354127,583.2657590985405,-580.6560008349489,-717329.7368045091
18.233608904838558,-2729168.368299659,12250906.08763751,294674.5753818888,-0.0001538481028348843,0.0006838131314600375,5.464414590504731e-05,0.0001687084572262051,-0.0007566815575250299,0.01006693778272899,-311.2723387492716,1383.521205493642,110.5584715144355,6.241439711188018e-08,-2.801708068847656e-07,4.070834214872348e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2029426178.722889,1637163960.455217,169290707.53495902,222971510.7327123,89.5754168031568,89.60310043001729,0.02768362686049386,1.9694773490842044,12554676.143016104,1.3449299602386446,-0.08004741219278246,0.3246925829760763,1.293228929207089,581.7086510016821,-26949.178165525387,583.0018799308892,-580.415422072475,-717685.1466394363
18.24292213058472,-2728677.9836266357,12248706.56107047,322715.4717001074,-0.0001537780030781646,0.0006835023283182841,5.932406126754323e-05,0.0001826897730941424,-0.0008194482987278236,0.01002797784775167,-311.0758598135755,1382.64947008134,120.00600213968201,6.838394525383666e-08,-3.06967529296875e-07,4.071009092688678e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2029560625.5884442,1637146904.9663641,169309451.0503347,223104269.571745,89.57729160306066,89.60505941181695,0.0277678087562947,1.9694488637954792,12553112.810502984,1.4731224120211976,-0.08004915038273056,0.32409752611359804,1.2805788148076545,581.4341534456522,-26950.962739595525,582.7147322604599,-580.1535746308446,-718071.5499207944
